,Year,Cause Name,State,Deaths,Age-adjusted Death Rate,State Population,Death Proportion
51,2016,Unintentional injuries,Wyoming,371,61.9,584290.0,0.635
50,2016,Unintentional injuries,Wisconsin,3575,55.6,5772958.0,0.6193
49,2016,Unintentional injuries,West Virginia,1705,89.7,1830929.0,0.9312
48,2016,Unintentional injuries,Washington,3221,41.4,7294680.0,0.4416
47,2016,Unintentional injuries,Virginia,3710,42.4,8410946.0,0.4411
46,2016,Unintentional injuries,Vermont,372,54.8,623644.0,0.5965
45,2016,Unintentional injuries,Utah,1211,43.8,3042613.0,0.398
10159,2016,Unintentional injuries,United States,161374,47.4,323071342.0,0.4995
44,2016,Unintentional injuries,Texas,10536,38.6,27937492.0,0.3771
43,2016,Unintentional injuries,Tennessee,4238,61.1,6645011.0,0.6378
42,2016,Unintentional injuries,South Dakota,505,53.4,862890.0,0.5852
41,2016,Unintentional injuries,South Carolina,3012,58.9,4958235.0,0.6075
40,2016,Unintentional injuries,Rhode Island,675,56.6,1057063.0,0.6386
39,2016,Unintentional injuries,Pennsylvania,8410,61.8,12783538.0,0.6579
38,2016,Unintentional injuries,Oregon,2105,46.0,4091404.0,0.5145
37,2016,Unintentional injuries,Oklahoma,2592,64.1,3926769.0,0.6601
35,2016,Unintentional injuries,Ohio,7999,66.6,11635003.0,0.6875
34,2016,Unintentional injuries,North Dakota,371,45.4,754353.0,0.4918
33,2016,Unintentional injuries,North Carolina,5476,52.2,10156679.0,0.5392
32,2016,Unintentional injuries,New York,7354,34.2,19641589.0,0.3744
31,2016,Unintentional injuries,New Mexico,1487,69.5,2092789.0,0.7105
30,2016,Unintentional injuries,New Jersey,3839,40.8,8874516.0,0.4326
29,2016,Unintentional injuries,New Hampshire,924,66.6,1342373.0,0.6883
28,2016,Unintentional injuries,Nevada,1395,46.0,2919772.0,0.4778
27,2016,Unintentional injuries,Nebraska,772,37.0,1905924.0,0.4051
26,2016,Unintentional injuries,Montana,626,54.1,1040863.0,0.6014
25,2016,Unintentional injuries,Missouri,3625,57.0,6087203.0,0.5955
24,2016,Unintentional injuries,Mississippi,1803,59.2,2988298.0,0.6034
23,2016,Unintentional injuries,Minnesota,2697,43.8,5523409.0,0.4883
22,2016,Unintentional injuries,Michigan,5313,50.5,9951890.0,0.5339
21,2016,Unintentional injuries,Massachusetts,3831,52.8,6826022.0,0.5612
20,2016,Unintentional injuries,Maryland,2271,35.7,6004692.0,0.3782
19,2016,Unintentional injuries,Maine,909,62.4,1331370.0,0.6828
18,2016,Unintentional injuries,Louisiana,2710,57.4,4678215.0,0.5793
17,2016,Unintentional injuries,Kentucky,3194,71.0,4438229.0,0.7197
16,2016,Unintentional injuries,Kansas,1444,45.7,2911263.0,0.496
15,2016,Unintentional injuries,Iowa,1608,45.8,3131785.0,0.5134
14,2016,Unintentional injuries,Indiana,3496,51.6,6633344.0,0.527
